x,y,z,Vx,Vy,Vz
-1,-1,-1,0.16002,-0.407462,0.0908036
-1,-1,-0.9,0.171021,-0.396994,0.0884292
-1,-1,-0.8,0.182083,-0.386292,0.084587
-1,-1,-0.7,0.192956,-0.375637,0.079147
-1,-1,-0.6,0.203349,-0.365355,0.0720306
-1,-1,-0.5,0.212938,-0.355799,0.0632278
-1,-1,-0.4,0.221385,-0.347332,0.0528125
-1,-1,-0.3,0.228361,-0.340304,0.0409517
-1,-1,-0.2,0.233571,-0.335025,0.0279057
-1,-1,-0.1,0.236781,-0.331739,0.0140186
-1,-1,0,0.23784,-0.330604,-0.000302503
-1,-1,0.1,0.236697,-0.33167,-0.0146169
-1,-1,0.2,0.233407,-0.334885,-0.0284844
-1,-1,0.3,0.228123,-0.340088,-0.0414995
-1,-1,0.4,0.221081,-0.347035,-0.0533205
-1,-1,0.5,0.212577,-0.355414,-0.0636896
-1,-1,0.6,0.202943,-0.364875,-0.0724429
-1,-1,0.7,0.192515,-0.375057,-0.079509
-1,-1,0.8,0.181616,-0.385606,-0.0849003
-1,-1,0.9,0.170538,-0.396201,-0.0886973
-1,-1,1,0.159527,-0.406561,-0.0910309
-1,-0.9,-1,0.153816,-0.415661,0.0884836
-1,-0.9,-0.9,0.165027,-0.405218,0.0864659
-1,-0.9,-0.8,0.176363,-0.394489,0.0829861
-1,-0.9,-0.7,0.187564,-0.383763,0.077898
-1,-0.9,-0.6,0.198324,-0.373371,0.071106
-1,-0.9,-0.5,0.208297,-0.363678,0.0625852
-1,-0.9,-0.4,0.217119,-0.355063,0.0523988
-1,-0.9,-0.3,0.224429,-0.347894,0.0407097
-1,-0.9,-0.2,0.229904,-0.342499,0.0277822
-1,-0.9,-0.1,0.233283,-0.339136,0.0139726
-1,-0.9,0,0.234399,-0.337973,-0.000293261
-1,-0.9,0.1,0.233197,-0.339066,-0.014552
-1,-0.9,0.2,0.229736,-0.342356,-0.028341
-1,-0.9,0.3,0.224186,-0.347674,-0.0412361
-1,-0.9,0.4,0.216809,-0.354759,-0.0528835
-1,-0.9,0.5,0.207932,-0.363283,-0.0630219
-1,-0.9,0.6,0.197915,-0.372878,-0.0714916
-1,-0.9,0.7,0.187123,-0.383167,-0.0782322
-1,-0.9,0.8,0.1759,-0.393785,-0.083271
-1,-0.9,0.9,0.164551,-0.404402,-0.0867055
-1,-0.9,1,0.153333,-0.414733,-0.0886829
-1,-0.8,-1,0.145469,-0.424364,0.0847028
-1,-0.8,-0.9,0.156663,-0.41408,0.0830485
-1,-0.8,-0.8,0.168042,-0.403468,0.0799677
-1,-0.8,-0.7,0.179345,-0.392814,0.0753013
-1,-0.8,-0.6,0.190256,-0.382453,0.0689387
-1,-0.8,-0.5,0.200415,-0.372756,0.0608403
-1,-0.8,-0.4,0.209438,-0.364113,0.0510569
-1,-0.8,-0.3,0.216941,-0.356902,0.0397435
-1,-0.8,-0.2,0.222575,-0.351465,0.0271629
-1,-0.8,-0.1,0.226059,-0.348072,0.0136762
-1,-0.8,0,0.227212,-0.346898,-0.000280241
-1,-0.8,0.1,0.225973,-0.348,-0.0142293
-1,-0.8,0.2,0.222406,-0.351318,-0.0276948
-1,-0.8,0.3,0.216697,-0.356675,-0.0402421
-1,-0.8,0.4,0.209129,-0.363799,-0.0515127
-1,-0.8,0.5,0.200053,-0.372348,-0.0612473
-1,-0.8,0.6,0.189852,-0.381944,-0.069294
-1,-0.8,0.7,0.178912,-0.392199,-0.0756051
-1,-0.8,0.8,0.16759,-0.402741,-0.0802227
-1,-0.8,0.9,0.156201,-0.413239,-0.083259
-1,-0.8,1,0.145004,-0.423408,-0.0848742
-1,-0.7,-1,0.134787,-0.433336,0.0793311
-1,-0.7,-0.9,0.145688,-0.42334,0.0780306
-1,-0.7,-0.8,0.156826,-0.41298,0.0753726
-1,-0.7,-0.7,0.167944,-0.402538,0.0711898
-1,-0.7,-0.6,0.178728,-0.39235,0.0653608
-1,-0.7,-0.5,0.188814,-0.382785,0.0578328
-1,-0.7,-0.4,0.197807,-0.374237,0.0486434
-1,-0.7,-0.3,0.20531,-0.36709,0.0379359
-1,-0.7,-0.2,0.210958,-0.361691,0.0259647
-1,-0.7,-0.1,0.214458,-0.358318,0.0130865
-1,-0.7,0,0.215618,-0.357148,-0.000262746
-1,-0.7,0.1,0.214373,-0.358243,-0.0136047
-1,-0.7,0.2,0.210792,-0.361538,-0.0264614
-1,-0.7,0.3,0.20507,-0.366854,-0.0383992
-1,-0.7,0.4,0.197505,-0.373911,-0.0490641
-1,-0.7,0.5,0.188461,-0.382362,-0.0582051
-1,-0.7,0.6,0.178337,-0.391823,-0.0656822
-1,-0.7,0.7,0.167527,-0.401902,-0.071461
-1,-0.7,0.8,0.156393,-0.412228,-0.0755965
-1,-0.7,0.9,0.145248,-0.422471,-0.0782119
-1,-0.7,1,0.134347,-0.432351,-0.0794755
-1,-0.6,-1,0.12165,-0.442275,0.0722893
-1,-0.6,-0.9,0.13194,-0.432671,0.0713163
-1,-0.6,-0.8,0.142503,-0.422679,0.06909
-1,-0.6,-0.7,0.153098,-0.412576,0.065442
-1,-0.6,-0.6,0.163421,-0.402686,0.0602455
-1,-0.6,-0.5,0.173116,-0.393378,0.0534379
-1,-0.6,-0.4,0.181792,-0.38504,0.0450438
-1,-0.6,-0.3,0.189054,-0.378056,0.0351913
-1,-0.6,-0.2,0.194535,-0.372772,0.0241189
-1,-0.6,-0.1,0.197937,-0.369466,0.012168
-1,-0.6,0,0.199066,-0.368317,-0.000240181
-1,-0.6,0.1,0.197856,-0.369387,-0.0126412
